hymn	stanza	line	offset	pronoun	page	zh
446	1-chorus	0	2	祢	468	藉着祢的救贖，
446	1-chorus	3	2	祢	468	我在祢這邊。
446	3	6	0	祢	468	祢使我們甘願
447	1	1	1	祢	469	與祢合一在靈裏；
447	1	3	4	祢	469	我今得享祢自己。
447	1-chorus	2	0	祢	469	祢的豐富是我供給，
447	1-chorus	3	6	祢	469	我的一切全是祢。
447	5	0	1	祢	469	與祢合一，在升天裏，
447	5	3	5	祢	469	我的眞命在祢藏。
448	1	1	3	祢	470	因信與祢成一靈，
448	2	0	1	祢	470	與祢合一，化身之子，
448	2	2	1	祢	470	因祢誕生，與祢連枝，
448	2	4	1	祢	470	與祢合一，受膏之子，
448	2	7	1	祢	470	與祢合作不稍離。
448	3	0	1	祢	470	與祢合一，被棄之子，
448	3	6	1	祢	470	因祢更生，同祢更始，
448	4	7	1	祢	470	與祢合一無已時。
451	1	0	2	祢	473	主，祢啓示一個奧秘，
451	5	0	0	祢	473	祢既是來敗壞仇敵
452	1	6	0	祢	474	祢魂對外的門戶
454	1	2	2	祢	475	但今祢的美麗臉面
454	5	0	2	祢	475	主，祢已使盲者復明，
457	1	5	3	祢	478	誰能與祢相匹？
457	5	5	3	祢	478	我只想祢同在。
457	6	3	2	祢	478	只有祢能使我滿足，
457	6	5	0	祢	478	祢外無所要求。
459	1	0	8	祢	480	耶穌，只要一想到祢，
459	3	2	0	祢	480	祢對尋求者何善良，
459	5	0	3	祢	480	耶穌！祢是世人之光，
460	1	0	3	祢	481	涼爽，祢像柔和微風，
461	1	0	6	祢	482	耶穌，我主！祢是屬我，
461	2	1	7	祢	482	今竟能歸榮耀給祢；
461	3	3	5	祢	482	我是無有，祢是萬有！
462	6	0	2	祢	483	但願祢的人性，主，
469	3	1	0	你	491	你在祂裏得完全；
469	4	1	0	祢	491	祢信實不變的話，
478	1	1	0	祢	503	祢是我們的主人；
479	4	3	2	祢	505	好讓祢的榮耀性情顯明
481	1	1	2	祢	507	定于祢，定於祢；
481	1	1	6	祢	507	定于祢，定於祢；
484	1	1	2	祢	510	惟有祢！惟有祢！
484	1	1	6	祢	510	惟有祢！惟有祢！
486	1	5	4	祢	512	信而順從祢的召呼。
486	2	3	2	祢	512	對我祢何豐足，
489	1	0	5	祢	515	主，祢已使祢的自己，
489	2	1	2	祢	515	惟有祢是我的完全；
490	4	2	0	祢	516	祢用膏油膏我的頭，
494	1-chorus	6	8	祢	520	主耶穌，我要得着祢，
497	3	3	1	你	524	使你歡奏出，愛祂的讚美。
